id,parent_id,name,created_at,updated_at
"230100","230000",宠物医院,2016/10/1,2016/10/1
"230200","230000",宠物寄养,2016/10/1,2016/10/1
"230300","230000",宠物美容,2016/10/1,2016/10/1
"230400","230000",其他,2016/10/1,2016/10/1
"240000","100000",汽车服务,2016/10/1,2016/10/1
"240100","240000",汽车美容/维修保养,2016/10/1,2016/10/1
"240200","240000",汽车配件,2016/10/1,2016/10/1
"240300","240000",停车场,2016/10/1,2016/10/1
"240400","240000",汽车租赁,2016/10/1,2016/10/1
"240500","240000",汽车销售,2016/10/1,2016/10/1
"240600","240000",城市交通,2016/10/1,2016/10/1
"240700","240000",代价,2016/10/1,2016/10/1
"240800","240000",其他,2016/10/1,2016/10/1
"250000","100000",咨询服务,2016/10/1,2016/10/1
"250100","250000",专业咨询,2016/10/1,2016/10/1
"250101","250100",法律咨询,2016/10/1,2016/10/1
"250102","250100",财务/管理咨询,2016/10/1,2016/10/1
"250103","250100",工程咨询,2016/10/1,2016/10/1
"250104","250100",其他,2016/10/1,2016/10/1
"250200","250000",中介,2016/10/1,2016/10/1
"250201","250200",婚姻中介,2016/10/1,2016/10/1
"250202","250200",房屋中介,2016/10/1,2016/10/1
"250203","250200",人力中介,2016/10/1,2016/10/1
"250204","250200",其他中介,2016/10/1,2016/10/1
"250300","250000",广告/策划/营销,2016/10/1,2016/10/1
"250400","250000",其他,2016/10/1,2016/10/1
"260000","100000",其他,2016/10/1,2016/10/1
